,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
189,1570315,0.78,False,Centrum-West,52.37016,4.885,Private room,2,1,2,3,$126.00,3,183,True,2,5,4.63,False,,63.0,378.0,0.06,0.17,0.19,4.99,Centrum-West,0.5863013698630137,133.8794520547945
190,1580186,0.77,False,Centrum-West,52.3798,4.88726,Entire home/apt,3,2,2,4,$300.00,2,31,True,0,0,4.72,True,,100.0,600.0,0.11,0.18,0.22,4.99,Centrum-West,0.0,300.0
191,1586071,1.0,False,Bos en Lommer,52.3825,4.85645,Private room,2,1,1,9,$45.00,4,30,True,0,0,4.86,True,,22.5,180.0,0.1,0.09,0.14,0.99,Bos en Lommer,0.0,71.73972602739725
192,1601408,0.8200000000000001,False,De Pijp - Rivierenbuurt,52.3552,4.89161,Entire home/apt,4,2,2,17,$436.00,4,1000,True,6,2,4.56,False,,109.0,1744.0,0.12,0.1,0.26,10.99,De Pijp - Rivierenbuurt,0.6438356164383562,413.9972602739726
193,1603630,1.0,True,Centrum-West,52.37886,4.88723,Entire home/apt,2,1,2,15,$300.00,4,1125,True,0,0,4.94,False,,150.0,1200.0,0.14,0.22,0.25,4.99,Centrum-West,0.6328767123287671,303.4246575342466
194,1605387,0.67,False,Oostelijk Havengebied - Indische Buurt,52.36333,4.93846,Entire home/apt,2,1,1,7,$50.00,5,15,True,0,0,4.68,False,,25.0,250.0,0.06,0.13,0.17,2.99,Oostelijk Havengebied - Indische Buurt,0.0,73.6
195,1620658,0.05,False,Oud-Oost,52.34933,4.91314,Entire home/apt,2,1,1,1,$125.00,3,1125,True,0,0,4.81,False,,62.5,375.0,0.06,0.18,0.17,4.99,Oud-Oost,0.0,101.5068493150685
196,1631878,0.04999999999999999,False,Zuid,52.36079,4.88298,Entire home/apt,4,2,3,16,$475.00,5,1125,True,0,1,4.09,True,,118.75,2375.0,0.07,0.08,0.2,10.99,Zuid,0.4246575342465753,475.0
197,1645011,0.45999999999999996,False,Centrum-Oost,52.36063,4.89241,Entire home/apt,4,3,3,13,$397.00,3,1125,True,0,0,4.94,False,,99.25,1191.0,0.13,0.2,0.3,4.99,Centrum-Oost,0.00821917808219178,392.8904109589041
198,1649932,0.72,False,Centrum-Oost,52.36307,4.89709,Entire home/apt,3,2,2,7,$125.00,5,30,True,0,0,5.0,False,,41.67,625.0,0.07,0.11,0.19,4.99,Centrum-Oost,0.0,125.0
199,1657879,0.0,False,De Baarsjes - Oud-West,52.35811,4.85707,Entire home/apt,3,1,2,9,$119.00,6,30,True,0,0,4.92,False,,39.67,714.0,0.07,0.13,0.19,4.99,De Baarsjes - Oud-West,0.0,119.0
200,1662676,0.0,False,Centrum-West,52.37976,4.88293,Entire home/apt,2,1,2,3,$100.00,15,30,False,0,0,4.85,False,,50.0,1500.0,0.07,0.12,0.14,4.99,Centrum-West,0.0,100.0
201,1681041,0.0,False,Zuid,52.35466,4.88464,Entire home/apt,6,3,4,9,$200.00,7,300,True,0,0,5.0,False,,33.33,1400.0,0.11,0.15,0.22,4.99,Zuid,0.038356164383561646,211.34794520547945
